,juror,country,fight,role,score,participant,problem,round,fightName
0,Alberto Rolandi,Slovenia,1,Rep,7.0,Rok Grgic MeskoandMaks Repse,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
34,Charlie Pretot,Colombia,1,Opp,4.0,Jose David Garavito Barragan,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
35,Charlie Pretot,UK,1,Mod,8.0,Bohdan Glisevic,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
36,Frederik Durhuus,Germany,1,Rep,7.0,Christian Schafer,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
37,Frederik Durhuus,Colombia,1,Opp,4.0,Jose David Garavito Barragan,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
38,Frederik Durhuus,UK,1,Mod,7.0,Bohdan Glisevic,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
39,Jose Ricardo Mejía Mora,Germany,1,Rep,6.0,Christian Schafer,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
40,Jose Ricardo Mejía Mora,Colombia,1,Opp,5.0,Jose David Garavito Barragan,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
41,Jose Ricardo Mejía Mora,UK,1,Mod,4.0,Bohdan Glisevic,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
42,Pawel Szczypkowski,Germany,1,Rep,6.0,Christian Schafer,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
43,Pawel Szczypkowski,Colombia,1,Opp,3.0,Jose David Garavito Barragan,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
44,Pawel Szczypkowski,UK,1,Mod,4.0,Bohdan Glisevic,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
45,Pierre-Louis de Assis,Germany,1,Rep,5.0,Christian Schafer,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
46,Pierre-Louis de Assis,Colombia,1,Opp,4.0,Jose David Garavito Barragan,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
47,Pierre-Louis de Assis,UK,1,Mod,5.0,Bohdan Glisevic,17. Resistor thermodynamics,1,Selective Fight 1| Room Room 3| Round 1
48,Diego Gallego,Italy,1,Rep,7.0,Dario Ventura,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
49,Diego Gallego,Ukraine,1,Opp,6.0,Anastasiia Romanchuk,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
50,Diego Gallego,Netherlands,1,Mod,5.0,Dragomir Nikolov,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
51,Federico Serrano,Italy,1,Rep,5.0,Dario Ventura,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
52,Federico Serrano,Ukraine,1,Opp,6.0,Anastasiia Romanchuk,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
53,Federico Serrano,Netherlands,1,Mod,5.0,Dragomir Nikolov,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
54,Jean-Philippe Ansermet,Italy,1,Rep,5.0,Dario Ventura,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
55,Jean-Philippe Ansermet,Ukraine,1,Opp,7.0,Anastasiia Romanchuk,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
56,Jean-Philippe Ansermet,Netherlands,1,Mod,5.0,Dragomir Nikolov,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
57,Leandro Tessler,Italy,1,Rep,3.0,Dario Ventura,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
58,Leandro Tessler,Ukraine,1,Opp,9.0,Anastasiia Romanchuk,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
59,Leandro Tessler,Netherlands,1,Mod,6.0,Dragomir Nikolov,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
60,Suzanne Andersen,Italy,1,Rep,5.0,Dario Ventura,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
61,Suzanne Andersen,Ukraine,1,Opp,7.0,Anastasiia Romanchuk,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
62,Suzanne Andersen,Netherlands,1,Mod,4.0,Dragomir Nikolov,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
63,Yeinizon Rodriguez,Italy,1,Rep,8.0,Dario Ventura,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
64,Yeinizon Rodriguez,Ukraine,1,Opp,8.0,Anastasiia Romanchuk,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
65,Yeinizon Rodriguez,Netherlands,1,Mod,7.0,Dragomir Nikolov,15. Galileo method,1,Selective Fight 1| Room Room 2| Round 1
66,Diego Gallego,Ukraine,1,Rep,5.0,Anastasiia Romanchuk,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
67,Diego Gallego,Netherlands,1,Opp,6.0,Antoni Skoczypiec,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
68,Diego Gallego,Italy,1,Mod,7.0,Sofia Cano Castro,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
69,Federico Serrano,Ukraine,1,Rep,5.0,Anastasiia Romanchuk,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
70,Federico Serrano,Netherlands,1,Opp,4.0,Antoni Skoczypiec,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
71,Federico Serrano,Italy,1,Mod,7.0,Sofia Cano Castro,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
72,Jean-Philippe Ansermet,Ukraine,1,Rep,7.0,Anastasiia Romanchuk,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
73,Jean-Philippe Ansermet,Netherlands,1,Opp,5.0,Antoni Skoczypiec,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
74,Jean-Philippe Ansermet,Italy,1,Mod,6.0,Sofia Cano Castro,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
75,Leandro Tessler,Ukraine,1,Rep,5.0,Anastasiia Romanchuk,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
76,Leandro Tessler,Netherlands,1,Opp,6.0,Antoni Skoczypiec,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
77,Leandro Tessler,Italy,1,Mod,5.0,Sofia Cano Castro,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
78,Suzanne Andersen,Ukraine,1,Rep,2.0,Anastasiia Romanchuk,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
79,Suzanne Andersen,Netherlands,1,Opp,6.0,Antoni Skoczypiec,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
80,Suzanne Andersen,Italy,1,Mod,4.0,Sofia Cano Castro,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
81,Yeinizon Rodriguez,Ukraine,1,Rep,7.0,Anastasiia Romanchuk,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
82,Yeinizon Rodriguez,Netherlands,1,Opp,9.0,Antoni Skoczypiec,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
83,Yeinizon Rodriguez,Italy,1,Mod,8.0,Sofia Cano Castro,7. Washboard roads,2,Selective Fight 1| Room Room 2| Round 2
84,Eduar Becerra,Romania,1,Rep,6.0,Tudor-Sebastian Robu,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
85,Eduar Becerra,Brazil,1,Opp,6.0,Gustavo Froes,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
86,Eduar Becerra,Poland,1,Mod,7.0,Michal Zdziennicki,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
87,Jose Daniel Muñoz Castaño,Romania,1,Rep,4.0,Tudor-Sebastian Robu,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
88,Jose Daniel Muñoz Castaño,Brazil,1,Opp,5.0,Gustavo Froes,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
89,Jose Daniel Muñoz Castaño,Poland,1,Mod,7.0,Michal Zdziennicki,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
90,Kseniia Minakova,Romania,1,Rep,4.0,Tudor-Sebastian Robu,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
91,Kseniia Minakova,Brazil,1,Opp,6.0,Gustavo Froes,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
92,Kseniia Minakova,Poland,1,Mod,9.0,Michal Zdziennicki,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
93,Mathieu Suter,Romania,1,Rep,3.0,Tudor-Sebastian Robu,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
94,Mathieu Suter,Brazil,1,Opp,4.0,Gustavo Froes,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
95,Mathieu Suter,Poland,1,Mod,9.0,Michal Zdziennicki,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
96,Peter Vesborg,Romania,1,Rep,3.0,Tudor-Sebastian Robu,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
97,Peter Vesborg,Brazil,1,Opp,6.0,Gustavo Froes,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
98,Peter Vesborg,Poland,1,Mod,6.0,Michal Zdziennicki,6. Flat Earth,1,Selective Fight 1| Room Room 1| Round 1
99,Alberto Rolandi,France,1,Rep,9.0,Valentin Carpintero Perez,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
100,Alberto Rolandi,Croatia,1,Opp,8.0,Jakov Budic,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
101,Alberto Rolandi,Slovenia,1,Mod,5.0,Maks Repse,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
102,John William Sandino del Busto,France,1,Rep,7.0,Valentin Carpintero Perez,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
103,John William Sandino del Busto,Croatia,1,Opp,5.0,Jakov Budic,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
104,John William Sandino del Busto,Slovenia,1,Mod,4.0,Maks Repse,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
105,José Fernando Rodríguez Ruiz,France,1,Rep,6.0,Valentin Carpintero Perez,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
106,José Fernando Rodríguez Ruiz,Croatia,1,Opp,7.0,Jakov Budic,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
107,José Fernando Rodríguez Ruiz,Slovenia,1,Mod,7.0,Maks Repse,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
108,Karen Milena Fonseca Romero,France,1,Rep,7.0,Valentin Carpintero Perez,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
109,Karen Milena Fonseca Romero,Croatia,1,Opp,7.0,Jakov Budic,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
110,Karen Milena Fonseca Romero,Slovenia,1,Mod,6.0,Maks Repse,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
111,Krzysztof Turzynski,France,1,Rep,8.0,Valentin Carpintero Perez,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
112,Krzysztof Turzynski,Croatia,1,Opp,10.0,Jakov Budic,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
113,Krzysztof Turzynski,Slovenia,1,Mod,7.0,Maks Repse,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
114,Mircea Noru Parpalea,France,1,Rep,6.0,Valentin Carpintero Perez,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
115,Mircea Noru Parpalea,Croatia,1,Opp,8.0,Jakov Budic,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
116,Mircea Noru Parpalea,Slovenia,1,Mod,7.0,Maks Repse,4. Filled ball,2,Selective Fight 1| Room Room 4| Round 2
117,Charlie Pretot,Colombia,1,Rep,3.0,Juan Diego Figueroa Hernandez,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
118,Charlie Pretot,UK,1,Opp,5.0,Tamas Daniel Lipovics,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
119,Charlie Pretot,Germany,1,Mod,5.0,Lisanne  Loher,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
120,Frederik Durhuus,Colombia,1,Rep,7.0,Juan Diego Figueroa Hernandez,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
121,Frederik Durhuus,UK,1,Opp,6.0,Tamas Daniel Lipovics,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
122,Frederik Durhuus,Germany,1,Mod,9.0,Lisanne  Loher,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
123,Jose Ricardo Mejía Mora,Colombia,1,Rep,7.0,Juan Diego Figueroa Hernandez,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
124,Jose Ricardo Mejía Mora,UK,1,Opp,6.0,Tamas Daniel Lipovics,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
125,Jose Ricardo Mejía Mora,Germany,1,Mod,9.0,Lisanne  Loher,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
126,Pawel Szczypkowski,Colombia,1,Rep,8.0,Juan Diego Figueroa Hernandez,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
127,Pawel Szczypkowski,UK,1,Opp,3.0,Tamas Daniel Lipovics,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
128,Pawel Szczypkowski,Germany,1,Mod,8.0,Lisanne  Loher,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
129,Pierre-Louis de Assis,Colombia,1,Rep,5.0,Juan Diego Figueroa Hernandez,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
130,Pierre-Louis de Assis,UK,1,Opp,6.0,Tamas Daniel Lipovics,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
131,Pierre-Louis de Assis,Germany,1,Mod,8.0,Lisanne  Loher,8. Ferrofluidic patterns,2,Selective Fight 1| Room Room 3| Round 2
132,Anastasiia Haieva,Denmark,1,Rep,3.0,Valdemar  Frederiksen,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
133,Anastasiia Haieva,Sweden,1,Opp,8.0,Maxime Simon,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
134,Anastasiia Haieva,Switzerland,1,Mod,8.0,Jan Jakub Frybes,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
135,Andrés Camilo Garcia Castro,Denmark,1,Rep,5.0,Valdemar  Frederiksen,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
136,Andrés Camilo Garcia Castro,Sweden,1,Opp,6.0,Maxime Simon,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
137,Andrés Camilo Garcia Castro,Switzerland,1,Mod,6.0,Jan Jakub Frybes,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
138,Nikola Poljak,Denmark,1,Rep,4.0,Valdemar  Frederiksen,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
139,Nikola Poljak,Sweden,1,Opp,8.0,Maxime Simon,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
140,Nikola Poljak,Switzerland,1,Mod,6.0,Jan Jakub Frybes,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
141,Oscar Mauricio Pimentel Díaz,Denmark,1,Rep,5.0,Valdemar  Frederiksen,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
142,Oscar Mauricio Pimentel Díaz,Sweden,1,Opp,7.0,Maxime Simon,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
143,Oscar Mauricio Pimentel Díaz,Switzerland,1,Mod,7.0,Jan Jakub Frybes,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
144,Urban Mur,Denmark,1,Rep,3.0,Valdemar  Frederiksen,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
145,Urban Mur,Sweden,1,Opp,4.0,Maxime Simon,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
146,Urban Mur,Switzerland,1,Mod,2.0,Jan Jakub Frybes,4. Filled ball,2,Selective Fight 1| Room Room 5| Round 2
147,Eduar Becerra,Poland,1,Rep,7.0,Maciej Szyszko,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
148,Eduar Becerra,Romania,1,Opp,7.0,Victor-Andrei Taras,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
149,Eduar Becerra,Brazil,1,Mod,8.0,Joao Pedro Carlini Minchillo,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
150,Jose Daniel Muñoz Castaño,Poland,1,Rep,7.0,Maciej Szyszko,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
151,Jose Daniel Muñoz Castaño,Romania,1,Opp,7.0,Victor-Andrei Taras,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
152,Jose Daniel Muñoz Castaño,Brazil,1,Mod,7.0,Joao Pedro Carlini Minchillo,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
153,Kseniia Minakova,Poland,1,Rep,8.0,Maciej Szyszko,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
154,Kseniia Minakova,Romania,1,Opp,7.0,Victor-Andrei Taras,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
155,Kseniia Minakova,Brazil,1,Mod,7.0,Joao Pedro Carlini Minchillo,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
156,Mathieu Suter,Poland,1,Rep,7.0,Maciej Szyszko,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
157,Mathieu Suter,Romania,1,Opp,6.0,Victor-Andrei Taras,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
158,Mathieu Suter,Brazil,1,Mod,7.0,Joao Pedro Carlini Minchillo,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
159,Peter Vesborg,Poland,1,Rep,7.0,Maciej Szyszko,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
160,Peter Vesborg,Romania,1,Opp,5.0,Victor-Andrei Taras,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
161,Peter Vesborg,Brazil,1,Mod,5.0,Joao Pedro Carlini Minchillo,10. Droplet sandy fingerprints,2,Selective Fight 1| Room Room 1| Round 2
162,Alberto Rolandi,Croatia,1,Rep,8.0,Maja Milas,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
163,Alberto Rolandi,Slovenia,1,Opp,8.0,Rok Grgic Mesko,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
164,Alberto Rolandi,France,1,Mod,10.0,Mattia Mauro,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
165,John William Sandino del Busto,Croatia,1,Rep,6.0,Maja Milas,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
166,John William Sandino del Busto,Slovenia,1,Opp,8.0,Rok Grgic Mesko,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
167,John William Sandino del Busto,France,1,Mod,7.0,Mattia Mauro,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
168,José Fernando Rodríguez Ruiz,Croatia,1,Rep,6.0,Maja Milas,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
169,José Fernando Rodríguez Ruiz,Slovenia,1,Opp,7.0,Rok Grgic Mesko,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
170,José Fernando Rodríguez Ruiz,France,1,Mod,7.0,Mattia Mauro,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
171,Karen Milena Fonseca Romero,Croatia,1,Rep,7.0,Maja Milas,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
172,Karen Milena Fonseca Romero,Slovenia,1,Opp,7.0,Rok Grgic Mesko,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
173,Karen Milena Fonseca Romero,France,1,Mod,6.0,Mattia Mauro,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
174,Krzysztof Turzynski,Croatia,1,Rep,4.0,Maja Milas,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
175,Krzysztof Turzynski,Slovenia,1,Opp,7.0,Rok Grgic Mesko,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
176,Krzysztof Turzynski,France,1,Mod,6.0,Mattia Mauro,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
177,Mircea Noru Parpalea,Croatia,1,Rep,7.0,Maja Milas,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
178,Mircea Noru Parpalea,Slovenia,1,Opp,7.0,Rok Grgic Mesko,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
179,Mircea Noru Parpalea,France,1,Mod,7.0,Mattia Mauro,2. Airbounce,3,Selective Fight 1| Room Room 4| Round 3
180,Anastasiia Haieva,Sweden,1,Rep,7.0,Xin Chen,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
181,Anastasiia Haieva,Switzerland,1,Opp,8.0,Jan Jakub Frybes,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
182,Anastasiia Haieva,Denmark,1,Mod,8.0,Juan Felipe Cespedes Moreno,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
183,Andrés Camilo Garcia Castro,Sweden,1,Rep,5.0,Xin Chen,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
184,Andrés Camilo Garcia Castro,Switzerland,1,Opp,7.0,Jan Jakub Frybes,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
185,Andrés Camilo Garcia Castro,Denmark,1,Mod,9.0,Juan Felipe Cespedes Moreno,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
186,Nikola Poljak,Sweden,1,Rep,5.0,Xin Chen,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
187,Nikola Poljak,Switzerland,1,Opp,7.0,Jan Jakub Frybes,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
